Minn-Irvine,65,buildings,,Distinctive retail types,strip mall/row of shops
Minn-Irvine,66,buildings,,Distinctive retail types,drive-thru
Minn-Irvine,134,buildings,,Garage doors=prominent,very/somewhat/not very or not visible
PEDS,23.4,crosswalk,,Crossing aids,curb extension
PEDS,23.7,crosswalk,,Crossing aids,flashing warning sign
PEDS,23.3,crosswalk,,Crossing aids,median/traffic island
PEDS,23.5,crosswalk,,Crossing aids,overpass or underpass
PEDS,23.6,crosswalk,,Crossing aids,ped crossing warning sign
PEDS,23.2,crosswalk,,Crossing aids,ped signal
PEDS,23.8,crosswalk,,Crossing aids,share the road warning sign
PEDS,23.1,crosswalk,,Crossing aids,yield to ped paddles
Minn-Irvine,4,crosswalk,,Crosswalks,colored painted lines yes/no
PEDS,22,crosswalk,,Crosswalks,crosswalks none/1-2/3-4/>4
Minn-Irvine,6,crosswalk,,Crosswalks,different road surface or paving yes/no
Minn-Irvine,7,crosswalk,,Crosswalks,other marking yes/no
Minn-Irvine,3,crosswalk,,Crosswalks,white painted lines yes/no
Minn-Irvine,5,crosswalk,,Crosswalks,zebra striping yes/no
Minn-Irvine,2,crosswalk,,Marked for ped crossing,all/some/none/NA
Minn-Irvine,110,crosswalk,,Mid-block crosswalk,yes/no
Minn-Irvine,112,crosswalk,,Mid-block crosswalk-marking,colored painted lines yes/no
Minn-Irvine,114,crosswalk,,Mid-block crosswalk-marking,different road surface or paving yes/no
Minn-Irvine,115,crosswalk,,Mid-block crosswalk-marking,other marking yes/no
Minn-Irvine,111,crosswalk,,Mid-block crosswalk-marking,white painted lines yes/no
Minn-Irvine,113,crosswalk,,Mid-block crosswalk-marking,zebra striping yes/no
Minn-Irvine,12,crosswalk,,Traffic control,ped activated signal
Minn-Irvine,13,crosswalk,,Traffic control,ped crossing sign
Minn-Irvine,129,design,enclosure,Buildings on >1/2 segment,yes/no
PEDS,29,design,enclosure,Degree of enclosure,little or no/some/highly enclosed
MIUDQ,10,design,enclosure,enclosure,"2a. proportion street wall (your side, beyond study area)"
PEDS,33,design,enclosure,Setback from sidewalk,buildings at edge of sidewalk/within 20 feet/more than 20 feet
MIUDQ,9,design,sight lines,enclosure,"1. number of long sight lines (both sides, beyond study area)"
MIUDQ,12,design,sight lines,enclosure,"3a. proportion sky (ahead, beyond study area)"
Minn-Irvine,22,design,sight lines,Significant open view,of object not on segment yes/no
Minn-Irvine,132,design,transparency,Buildings-blank walls,some or a lot/few/none/NA
MIUDQ,19,design,transparency,transparency,"1. proportion windows at street level (your side, within study area)"
PEDS,32,design,,Articulation,in building designs-little or no/some/highly
MIUDQ,1,design,,imageability,"1. number of courtyards, plazas, and parks (both sides, within study area)"
MIUDQ,4,design,,imageability,"4. number of buildings with identifiers (both sides, within study area)"
PEDS,19,design,,Walk thru parking lot,walk thru parking lot to get to most buildngs yes/no
Minn-Irvine,128,disorder,,Abandoned buildings/lots,some or a lot/few/none/NA
PHDCN,,disorder,,Abandoned cars,yes/no
PHDCN,,disorder,,"cigarettes, cigars on the street",yes/no
PEDS,31,disorder,,Cleanliness,cleanliness and building maintenance poor/fair/good
PHDCN,,disorder,,Condoms on sidewalk,yes/no
Minn-Irvine,161,disorder,,"Dogs (loose, unsupervised)",yes/no
Minn-Irvine,141,disorder,,Dumpsters visible,some or a lot/little/none
PHDCN,,disorder,,empty beer bottles visible in street,yes/no
Minn-Irvine,139,disorder,,Grafitti apparent,some or a lot/little/none (encompasses PHDCN yes/no question)
PHDCN,,disorder,,Grafitti painted over,yes/no
Minn-Irvine,140,disorder,,Litter apparent,some or a lot/little/none (encompasses PHDCN yes/no question)
Minn-Irvine,138,disorder,,Maintenance of buildings,attractive/neutral/unattractive/NA
PHDCN,,disorder,,Needles/syringes on sidewalk,yes/no
NYC HVS,,disorder,,Dilapidated exterior walls,"either major cracks in walls OR missing bricks, siding, or other outside wall material (yes/no)"
NYC HVS,,disorder,,Broken or boarded up windows,yes/no
Minn-Irvine,56,land use,industrial,Land uses present,industrial-other
Minn-Irvine,54,land use,industrial,Land uses present,light industrial (small or clean)
Minn-Irvine,55,land use,industrial,Land uses present,"medium or heavy industrial (e.g. chemical plants, oil wells)"
PEDS,1.6,land use,industrial,Uses in segment,industrial
Minn-Irvine,38,land use,institutional,Land uses present,community center or library
Minn-Irvine,29,land use,institutional,Land uses present,Elementary or junior hi school
Minn-Irvine,30,land use,institutional,Land uses present,High school
Minn-Irvine,43,land use,institutional,Land uses present,"hospital, medical facility, health clinic"
Minn-Irvine,44,land use,institutional,Land uses present,institutional-other
Minn-Irvine,39,land use,institutional,Land uses present,"museum, auditorium, concert hall, theater"
Minn-Irvine,40,land use,institutional,Land uses present,"post office, police, courtroom, DMV"
Minn-Irvine,41,land use,institutional,Land uses present,public building-other
Minn-Irvine,42,land use,institutional,Land uses present,religious institution
Minn-Irvine,32,land use,institutional,Land uses present,School-other
Minn-Irvine,31,land use,institutional,Land uses present,University or college
Minn-Irvine,62,land use,mixed use,Vertical mixed use,some or a lot/few/none/NA
Minn-Irvine,53,land use,office,Land uses present,office/service-other
Minn-Irvine,51,land use,office,Land uses present,offices
Minn-Irvine,46,land use,office,Land uses present,bank/financial service
PEDS,1.4,land use,office,Uses in segment,office and institutional
Minn-Irvine,33,land use,public space,Land uses present,"Plaza, square, park, playground, landscaped open space, playing fields, garden"
Minn-Irvine,34,land use,public space,Land uses present,Public space-other
Minn-Irvine,37,land use,recreation,Land uses present,recreational-other
PEDS,1.8,land use,recreation,Uses in segment,recreational
Minn-Irvine,28,land use,residential,Land uses present,Residential-other
Minn-Irvine,24,land use,residential,Land uses present,single family home detached
Minn-Irvine,25,land use,residential,Land uses present,Single family home duplex
Minn-Irvine,26,land use,residential,Land uses present,Town home/condo/apartment (3+ units)
PEDS,1.3,land use,residential,Uses in segment,mobile homes
Minn-Irvine,75,land use,retail/consumer,Land use-adult uses,some or a lot/few/none
Minn-Irvine,74,land use,retail/consumer,Land use-bars/nightclubs,some or a lot/few/none
Minn-Irvine,76,land use,retail/consumer,Land use-check cashing,"check cashing stores, pawn shops, bail bond stores-some or a lot/few/none"
Minn-Irvine,79,land use,retail/consumer,Land use-coffee shops,some or a lot/few/none
Minn-Irvine,81,land use,retail/consumer,Land use-corner store,some or a lot/few/none
Minn-Irvine,83,land use,retail/consumer,Land use-farmers market,yes/no
Minn-Irvine,82,land use,retail/consumer,Land use-galleries,some or a lot/few/none
Minn-Irvine,80,land use,retail/consumer,Land use-libraries/bookshop,some or a lot/few/none
Minn-Irvine,77,land use,retail/consumer,Land use-liquor stores,some or a lot/few/none
Minn-Irvine,78,land use,retail/consumer,Land use-restaurants,some or a lot/few/none
Minn-Irvine,36,land use,retail/consumer,Land uses present,movie theater
Minn-Irvine,45,land use,retail/consumer,Land uses present,retail stores/restaurant
Minn-Irvine,48,land use,retail/consumer,Land uses present,car dealership
Minn-Irvine,49,land use,retail/consumer,Land uses present,gas/service station
PEDS,1.5,land use,retail/consumer,Uses in segment,commercial and retail
Minn-Irvine,59,land use,rural,Land uses present,"agricultural land, ranch, farming"
Minn-Irvine,47,land use,service,Land uses present,hotel/hospitality
Minn-Irvine,52,land use,service,Land uses present,"service facilities (insurance offices, funeral homes, dry cleaning, laundromats, etc)"
Minn-Irvine,35,land use,service,Land uses present,Gym/fitness center
PEDS,1.7,land use,undeveloped,Uses in segment,vacant or undeveloped
Minn-Irvine,50,land use,,Land uses present,commercial-other
PEDS,25,lighting,,Roadway/path light,road-oriented lighting/pedestrian-scale lighting/ther lighting/none
PEDS,2,nature,slope,Slope,flat/slight hill/steep hill
PEDS,28,nature,trees,Trees,number shading walking area none or few/some/many or dense
Minn-Irvine,86,nature,water,Nature-fountain/pool,yes/no
Minn-Irvine,85,nature,water,Nature-lake/pond,yes/no
Minn-Irvine,89,nature,water,Nature-ocean,yes/no
Minn-Irvine,87,nature,water,Nature-stream/river/canal,yes/no
PEDS,8.2,nature,,Buffers b/t road & path,trees
PEDS,8.3,nature,,Buffers b/t road & path,hedges
PEDS,8.4,nature,,Buffers b/t road & path,landscape
MIUDQ,17,nature,,human scale,"4. number of small planters (your side, within study area)"
MIUDQ,2,nature,,imageability,"2. number of major landscape features (both sides, beyond study area)"
Minn-Irvine,57,nature,,Land uses present,harbor/marina
Minn-Irvine,60,nature,,Land uses present,nature feature
Minn-Irvine,91,nature,,Nature-desert,yes/no
Minn-Irvine,84,nature,,"Nature-field, golf course",yes/no
Minn-Irvine,88,nature,,Nature-forest,yes/no
Minn-Irvine,90,nature,,Nature-mountain or hills,yes/no
Minn-Irvine,137,parking/driveways,,Driveways visible,some or a lot/few/none
PEDS,18,parking/driveways,,Off-street parking,lot spaces 0-5/6-25/26+
PEDS,17,parking/driveways,,On-street parking,parallel or diagonal/none
Minn-Irvine,136,parking/driveways,,Parking structure use,most prominent visible use on street level=parking/varied/not parking other uses
Minn-Irvine,135,parking/driveways,,Parking structure visible,yes/no
Minn-Irvine,96,ped access,,Barriers-drainage ditch,no barrier/can be overcome/can be somewhat overcome/cannot be overcome
Minn-Irvine,92,ped access,,Barriers-highway,no barrier/can be overcome/can be somewhat overcome/cannot be overcome
Minn-Irvine,94,ped access,,Barriers-impassable land use,no barrier/can be overcome/can be somewhat overcome/cannot be overcome
Minn-Irvine,98,ped access,,Barriers-other,no barrier/can be overcome/can be somewhat overcome/cannot be overcome
Minn-Irvine,93,ped access,,Barriers-railroad track,no barrier/can be overcome/can be somewhat overcome/cannot be overcome
Minn-Irvine,95,ped access,,Barriers-river,no barrier/can be overcome/can be somewhat overcome/cannot be overcome
Minn-Irvine,97,ped access,,Barriers-road 6+lanes,no barrier/can be overcome/can be somewhat overcome/cannot be overcome
Minn-Irvine,178,ped access,,Convenience of crossing,pretty or very convenient/not very or inconvenient/cul de sac  (far end of segment)
Minn-Irvine,73,ped access,,Public access to pub space,unclear/yes/no
Minn-Irvine,142,powerlines,,Electrical wiring visible,some or a lot/little/none
PEDS,6,sidewalk,condition,Path condition,ped path condition poor/fair/good/under repair
Minn-Irvine,101,sidewalk,condition,Sidewalk condition,under repair/moderate or good/poor
PEDS,13,sidewalk,connectivity,Sidewalk connectivity,ped path connectivity to other paths or crosswalks (sidewalk only) number of connections ___
PEDS,12,sidewalk,continuity,Sidewalk continuity,ped path continuity (sidewalk only) complete/incomplete
Minn-Irvine,8,sidewalk,curb cuts,Curb cuts,all/some/none/NA
Minn-Irvine,103,sidewalk,shading,Sidewalk arcades,some or much of sidewalk covered/little or none
Minn-Irvine,104,sidewalk,shading,Sidewalk awnings,some or much of sidewalk covered/little or none
Minn-Irvine,105,sidewalk,shading,Sidewalk other covering,some or much of sidewalk covered/little or none
PEDS,5.1,sidewalk,surface,Path material,asphalt
PEDS,5.2,sidewalk,surface,Path material,concrete
PEDS,5.3,sidewalk,surface,Path material,paving bricks or flat stone
PEDS,5.4,sidewalk,surface,Path material,gravel
PEDS,5.5,sidewalk,surface,Path material,dirt or sand
Minn-Irvine,102,sidewalk,surface,Sidewalk surface,decorative paving covers most or all of sidewalk on segment yes/no
PEDS,4.1,sidewalk,surface,Type of ped facility,footpath
PEDS,4.2,sidewalk,surface,Type of ped facility,paved trail
PEDS,4.3,sidewalk,surface,Type of ped facility,sidewalk
PEDS,8.1,sidewalk,,Buffers b/t road & path,fence
PEDS,8.5,sidewalk,,Buffers b/t road & path,grass
PEDS,8.6,sidewalk,,Buffers b/t road & path,none
PEDS,9,sidewalk,,Path distance from curb,ped path distance from curb at edge/<5 feet/>5 feet
PEDS,7.1,sidewalk,,Path obstructions,poles or signs
PEDS,7.2,sidewalk,,Path obstructions,parked cars
PEDS,7.3,sidewalk,,Path obstructions,greenery
PEDS,7.4,sidewalk,,Path obstructions,garbage cans
PEDS,7.5,sidewalk,,Path obstructions,other
PEDS,7.6,sidewalk,,Path obstructions,none
Minn-Irvine,107,sidewalk,,Ped path/greenbelt,(other than sidewalks along street) yes/no
Minn-Irvine,153,sidewalk,,Pedestrian access point,yes/no/DK
Minn-Irvine,99,sidewalk,,Sidewalk presence,sides of street with sidewalks ___
PEDS,10,sidewalk,,Sidewalk width,ped path width < 4 feet/4-8 feet/>8 feet
PEDS,21.5,street,calming,Traffic control devices,chicanes or chokers
Minn-Irvine,19,street,direction,Direction of street,one way/two way
PEDS,3,street,intersection,Segment intersections,3 way/4 way/other int type/deadend but path continues/segment dead ends/no intersections
Minn-Irvine,21,street,lanes,Number of vehicle lanes,six or more/5/4/3/2/1/NA
PEDS,4.4,street,ped access,Type of ped facility,pedestrian street (no cars)
PEDS,16,street,speed,Posted speed limit,none/___mph
Minn-Irvine,144,street,type,Freeway over/underpass,under a freeway overpass/next to freeway/is a freeway overpass/none of above
PEDS,0,street,type,Segment type,low volume road/high volume road/bike or ped path
Minn-Irvine,152,street,,Cul de sac/permanent street closing,yes/no
PEDS,14,street,,Road condition,condition of road poor/fair/good/under repair
Minn-Irvine,20,street,,Segment an alley,yes/no
Minn-Irvine,146,traffic control,,Traffic calming,speed bump/speed hump/raised crosswalk/dips
Minn-Irvine,147,traffic control,,Traffic calming,rumble strips or bumps
Minn-Irvine,148,traffic control,,Traffic calming,curb bulb-out/curb extension
Minn-Irvine,149,traffic control,,Traffic calming,traffic circle/roundabout
Minn-Irvine,150,traffic control,,Traffic calming,median
Minn-Irvine,151,traffic control,,Traffic calming,angled/on-street parking along most or all of segment
Minn-Irvine,9,traffic control,,Traffic control,traffic signal
Minn-Irvine,10,traffic control,,Traffic control,stop sign
Minn-Irvine,11,traffic control,,Traffic control,yield sign
PEDS,35,transit,,Bus stops,bus stop with shelter/bus stop with bench/bus stop with signage only/none
Minn-Irvine,159,,,Billboards present,some or a lot/few/none
,,,,,
