E 1st St,New York,28668073,-73.98844636,40.72327364,-73.98698818,40.72268,36,61,3002,36061003002,36061003002,Random Tract,0.001574388,0.046602635,Selected
,Washington,43119367,-122.1550109,47.33868364,-122.1576564,47.33858455,53,33,31205,53033031205,53033031205,Random Tract,0.002647355,0.048063119,No SV
,California,5565317,-122.0728218,37.10251364,-122.0729209,37.10679727,6,87,120600,6087120600,6087120600,Random Tract,0.004284776,0.055779352,No SV
Seminole Dr,Georgia,12625902,-84.20236182,33.87674727,-84.20146909,33.87699455,13,135,50403,13135050403,13135050403,Random Tract,0.000926345,0.060854668,Partial SV
V V Jones Rd,Texas,38285098,-97.07957091,32.45845727,-97.07803909,32.45619091,48,139,60800,48139060800,48139060800,Random Tract,0.002735482,0.06401712,No SV
Byswick Pl,North Carolina,24201833,-80.76256364,35.12941909,-80.76306364,35.12926182,37,119,3015,37119003015,37119003015,Random Tract,0.000524151,0.064275461,Selected
,Louisiana,17903135,-92.04805818,30.12044091,-92.04512091,30.11788455,22,55,1402,22055001402,22055001402,Random Tract,0.00389391,0.0677914,No SV
SE 170th Ave,Oregon,31616819,-122.4878682,45.49857818,-122.4878791,45.49785273,41,51,9804,41051009804,41051009804,Random Tract,0.000725532,0.068507871,Selected
Arroyo Rd,California,7937905,-117.3668064,33.61817909,-117.3671564,33.61930636,6,65,46401,6065046401,6065046401,Random Tract,0.001180355,0.07145374,No SV
N Dunlap St,Tennessee,34925590,-90.03056364,35.15824455,-90.03033091,35.15974364,47,157,2000,47157002000,47157002000,Random Tract,0.001517048,0.080680109,Selected
Highway 89,Florida,9743944,-87.09294727,30.76694273,-87.09285727,30.77065,12,113,10400,12113010400,12113010400,Random Tract,0.003708362,0.090788289,Selected
Hicks St,New York,28959064,-73.70227636,40.66525273,-73.70285364,40.66468273,36,59,410500,36059410500,36059410500,Random Tract,0.000811266,0.099465359,Selected
S CA International Airport,California,7686379,-117.3962118,34.58895455,-117.3926173,34.58649818,6,71,9102,6071009102,6071009102,Random Tract,0.00435364,0.103494823,No SV
Charles Storch Rd,New York,28304326,-76.88398091,42.12295091,-76.87731818,42.11836818,36,15,10300,36015010300,36015010300,Random Tract,0.008086618,0.105476498,No SV
King George Way,South Carolina,33905485,-81.12839273,34.05071,-81.12790182,34.05063818,45,63,20511,45063020511,45063020511,Random Tract,0.000496136,0.106749898,No SV
Covered Bridge Rd,Pennsylvania,33384229,-74.97229727,40.20431636,-74.97256545,40.20750909,42,17,105009,42017105009,42017105009,Random Tract,0.003203973,0.108425034,Partial SV
S US Highway 71,Missouri,21690090,-94.52598545,38.88501364,-94.52609727,38.88338,29,95,13301,29095013301,29095013301,Random Tract,0.001637462,0.110146516,Selected
Driveway,California,7311031,-118.2657818,33.83408545,-118.2637573,33.83373909,6,37,543802,6037543802,6037543802,Random Tract,0.002053915,0.110231872,Selected
S West St,California,5954610,-119.2962573,36.30566364,-119.2961818,36.30251364,6,107,1902,6107001902,6107001902,Random Tract,0.003150905,0.118103065,Selected
Fence Rd,Hawaii,13055932,-158.1404964,21.43439182,-158.1413655,21.44027909,15,3,9604,15003009604,15003009604,Random Tract,0.005951074,0.121253448,No SV
Maple St,Pennsylvania,33127065,-75.89084,41.02298091,-75.89206364,41.02372909,42,79,216700,42079216700,42079216700,Random Tract,0.001434248,0.121862494,No SV
Browns Ct SE,District of Columbia,9593654,-76.99731,38.88811818,-76.99674636,38.88812091,11,1,6600,11001006600,11001006600,Random Tract,0.000563647,0.121919262,Partial SV
Dittmar Dr,California,7449385,-118.0307009,33.95402364,-118.0283909,33.95233182,6,37,501900,6037501900,6037501900,Random Tract,0.002863277,0.124197372,Selected
Holly Dr,Louisiana,18348084,-90.05261636,29.91683727,-90.05170636,29.91556091,22,51,25600,22051025600,22051025600,Random Tract,0.001567544,0.138650227,Selected
Avalon Way,Louisiana,18326964,-90.14597545,29.98100727,-90.14504182,29.98096091,22,51,22600,22051022600,22051022600,Random Tract,0.00093478,0.140961489,Partial SV
Ravines Edge Way,Ohio,29885082,-82.12093727,41.29931909,-82.12401909,41.29958818,39,93,77100,39093077100,39093077100,Random Tract,0.003093546,0.141376266,No SV
