CCAHS,4,CCAHS.4,Land_Use,,1,Are there any low-rise apartment buildings (less than 6 stories)?,Yes,No,,,
CCAHS,5,CCAHS.5,Land_Use,,1,Are there any detached single family or two-family (duplex) houses?,Yes,No,,,
CCAHS,8,CCAHS.8,Land_Use,,1,Are there any row houses or townhouses?,Yes,No,,
CCAHS,9,CCAHS.9,Land_Use,,1,Are there any housing units over commercial storefronts?,Yes,No,,
PEDS,1.4,PEDS.1.4,Land_Use,,1,Is there any office/institutional land use?,Yes,No,,
PEDS,1.5,PEDS.1.5,Land_Use,,1,Is there any restaurant/cafe/commercial land use?,Yes,No,,
PEDS,1.6,PEDS.1.6,Land_Use,,1,Is there any industrial land use?`,Yes,No,,
PEDS,1.7,PEDS.1.7,Land_Use,,1,Is there vacant or undeveloped land?,Yes,No,,
PEDS,1.8,PEDS.1.8,Land_Use,,1,Is there any recreational land use?,Yes,No,,
Minn-Irvine,33,Minn-Irvine.33,Land_Use,,1,Is there a park or playground?,Yes,No,,
Minn-Irvine,34,Minn-Irvine.34,Land_Use,,1,Is there some other kind of public space?,Yes,No,,
Minn-Irvine,127,Minn-Irvine.127,Appearance,,1,How many stories are most buildings on the segment?  (Do not count basements),5+ stories,3-4 stories,1-2 stories,Not applicable
Minn-Irvine,132,Minn-Irvine.132,Appearance,,1,Do any buildings have blank walls?  (only blank walls facing the segment count),Yes,No,,
MIUDQ,10,MIUDQ.10,Appearance,,1,What proportion of the block has a street wall (buildings within 10 ft of sidewalk edge)?,Write in %,,,
PEDS,33,PEDS.33,Appearance,,1,How far are most buildings set back from the sidewalk?,At edge of sidewalk,Within 20 feet of sidewalk,More than 20 feet from sidewalk,Not applicable-no buildings
Minn-Irvine,130,Minn-Irvine.130,Appearance,,1,Do any buildings have windows with bars?,Yes,No,Not applicable,
Minn-Irvine,22,Minn-Irvine.22,Appearance,,0,"Is there a significant open view of an object not on the block?  (e.g. mountains, ocean, landmark buildings, etc.)",Yes,No,,
Minn-Irvine,17,Minn-Irvine.17,Appearance,,0,Do you see any public art or banners identifying the neighborhood?,Yes,No,,
Minn-Irvine,119,Minn-Irvine.119,Appearance,,1,"Are there outdoor dining areas (cafes, outdoor tables at coffee shops or plazas, etc)?",Yes,No,,,
Minn-Irvine,120,Minn-Irvine.120,Appearance,,1,"Are there any benches (not a bus stop), chairs and/or ledges for sitting?",Yes,No,,,
MIUDQ,18,MIUDQ.18,Appearance,,1,Are there any other pieces of street furniture or pedestrian items? (bus stop benches count -- see help for more specifics),Yes,No,,,
PEDS,26.1,PEDS.26.1,Appearance,,1,Do you see a public garbage can?,Yes,No,,,
PEDS,2,PEDS.2,Appearance,,0,What is the maximum slope of the segment? (Note: please check the help for the definition of slight hill),Flat,Slight hill,Steep hill,,
PEDS,28,PEDS.28,Appearance,,1,"How many trees shade the walking area? (This question is about amount of shade, not about number of trees -- see help for more information.)",None/a few,Many/Dense,,,
PHDCN,1,PHDCN.1,Disorder,,1,"Is there garbage, litter, or broken glass in the street or on the sidewalks? ",Yes,No,,,
PHDCN,2,PHDCN.2,Disorder,,1,"Are there empty beer or liquor bottles visible in streets, yards, or alleys?",Yes,No,,,
PHDCN,3,PHDCN.3,Disorder,,1,"Is there graffiti, or evidence of graffiti that has been painted over, on buildings, signs, or walls?",Yes,No,,,
PHDCN,4,PHDCN.4,Disorder,,1,Are there abandoned cars?,Yes,No,,,
PHDCN,5,PHDCN.5,Disorder,,1,How would you rate the condition of most of the buildings on the block face?,Very well kept/good condition,Moderately well kept condition,"Fair condition (peeling paint, needs repair)",Poor/badly deteriorated condition,Not applicable
PHDCN,6,PHDCN.6,Disorder,,1,Do you see burned out buildings in the block face?,Yes,No,,,
PHDCN,7,PHDCN.7,Disorder,,1,Do you see boarded up or abandoned buildings in the block face?,Yes,No,,,
